headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_f1,ret_f2,ret_f3,ret_f4,ret_f5,ret_f6,ret_f7,ret_f8,ret_f9,ret_f10,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,Mkt-RF,SMB,HML,RF,Mkt-RF_1,SMB_1,HML_1,RF_1,date_1,Mkt-RF_2,SMB_2,HML_2,RF_2,date_2,Mkt-RF_3,SMB_3,HML_3,RF_3,date_3,Mkt-RF_4,SMB_4,HML_4,RF_4,date_4,Mkt-RF_5,SMB_5,HML_5,RF_5,date_5,Mkt-RF_6,SMB_6,HML_6,RF_6,date_6,Mkt-RF_7,SMB_7,HML_7,RF_7,date_7,Mkt-RF_8,SMB_8,HML_8,RF_8,date_8,Mkt-RF_9,SMB_9,HML_9,RF_9,date_9,Mkt-RF_10,SMB_10,HML_10,RF_10,date_10,index,b_mkt,b_smb,b_hml,er_CAPM,ar_CAPM,er_CAPM_1,ar_CAPM_1,er_CAPM_2,ar_CAPM_2,er_CAPM_3,ar_CAPM_3,er_CAPM_4,ar_CAPM_4,er_CAPM_5,ar_CAPM_5,er_CAPM_6,ar_CAPM_6,er_CAPM_7,ar_CAPM_7,er_CAPM_8,ar_CAPM_8,er_CAPM_9,ar_CAPM_9,er_CAPM_10,ar_CAPM_10,CAPM_CAR_1,CAPM_CAR_2,CAPM_CAR_3,CAPM_CAR_5,CAPM_CAR_10
"Atlantic American Q4 EPS $0.01 Down From $0.12 YoY, Sales $49.2M Up From $48.825M YoY",2019-04-01,AAME,2019-04-01 18:04:00+00:00,ATLANTIC AMERICAN CORP,15580.0,04820910,0.02470586821436882,-0.01071150694042444,0.023588502779603,-0.01813372038304806,0.01231241598725319,-0.009502047672867775,-0.005857146345078945,-0.00706985080614686,-0.00514244707301259,0.01829029805958271,-0.001952406950294971,2019-04-02,2019-04-03,2019-04-04,2019-04-05,2019-04-08,2019-04-09,2019-04-10,2019-04-11,2019-04-12,2019-04-15,1.19,-0.3,0.99,0.01,-0.05,-0.13,-0.44,0.01,2019-04-02,0.27,0.22,-0.4,0.01,2019-04-03,0.19,0.21,0.93,0.01,2019-04-04,0.52,0.53,-0.08,0.01,2019-04-05,0.08,-0.29,0.1,0.01,2019-04-08,-0.65,-0.56,-0.14,0.01,2019-04-09,0.48,0.97,-0.1,0.01,2019-04-10,0.0,-0.31,0.41,0.01,2019-04-11,0.65,-0.5,0.65,0.01,2019-04-12,-0.09,-0.22,-0.53,0.01,2019-04-15,440647.0,-0.1112,0.8294,-0.3259,-0.12232799999999998,0.1470338682143688,0.015560000000000001,-0.02627150694042444,-0.020024,0.043612502779603005,-0.011127999999999997,-0.007005720383048064,-0.047824,0.06013641598725319,0.0011040000000000008,-0.010606047672867776,0.08227999999999999,-0.08813714634507894,-0.04337599999999999,0.03630614919385313,0.01,-0.01514244707301259,-0.062279999999999995,0.08057029805958271,0.020007999999999998,-0.02196040695029497,0.12076236127394438,0.017340995839178565,0.03660678239655494,0.042524647931337346,-0.018969600787818425
"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $182",2019-04-01,AAP,2019-04-01 12:22:00+00:00,ADVANCE AUTO PARTS INC,89217.0,00751Y10,0.01817865483462811,0.01523833442479372,-0.006319800857454538,0.01396928634494543,0.007840553298592567,0.003889736253768206,0.008192160166800022,0.006368747446686029,-0.005237352568656206,-0.007568222470581532,0.003757695900276303,2019-04-02,2019-04-03,2019-04-04,2019-04-05,2019-04-08,2019-04-09,2019-04-10,2019-04-11,2019-04-12,2019-04-15,1.19,-0.3,0.99,0.01,-0.05,-0.13,-0.44,0.01,2019-04-02,0.27,0.22,-0.4,0.01,2019-04-03,0.19,0.21,0.93,0.01,2019-04-04,0.52,0.53,-0.08,0.01,2019-04-05,0.08,-0.29,0.1,0.01,2019-04-08,-0.65,-0.56,-0.14,0.01,2019-04-09,0.48,0.97,-0.1,0.01,2019-04-10,0.0,-0.31,0.41,0.01,2019-04-11,0.65,-0.5,0.65,0.01,2019-04-12,-0.09,-0.22,-0.53,0.01,2019-04-15,444441.0,0.7352,0.2658,0.1139,0.8848879999999999,-0.8667093451653718,-0.02676,0.04199833442479372,0.20850400000000002,-0.21482380085745456,0.14968800000000002,-0.13571871365505458,0.392304,-0.3844634467014074,0.068816,-0.0649262637462318,-0.46787999999999996,0.4760721601668,0.362896,-0.35652725255331397,0.01,-0.015237352568656206,0.48788,-0.4954482224705815,-0.05616799999999999,0.05992569590027629,-0.8247110107405781,-0.17282546643266083,-0.3505425145125092,-0.5851084241026938,-0.3961412352717072
"AllianceBernstein Holding Q1 EPS $0.49 Misses $0.53 Estimate, Sales $795.462M Beat $677.88M Estimate",2019-04-25,AB,2019-04-25 11:57:00+00:00,ALLIANCEBERNSTEIN HOLDING L P,75278.0,01881G10,-0.0313229113817215,-0.01567753031849861,0.02389078959822655,0.05305555090308189,-0.0108150839805603,0.01306671183556318,0.0002631829702295363,-0.001315769390203059,0.002107984619215131,0.02550621144473553,-0.0207692664116621,2019-04-26,2019-04-29,2019-04-30,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,-0.14,-0.75,-0.19,0.01,0.53,0.43,0.07,0.01,2019-04-26,0.18,0.08,0.65,0.01,2019-04-29,-0.04,-0.7,0.28,0.01,2019-04-30,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,565513.0,1.0795,0.2041,0.8152,-0.14113,0.10980708861827851,0.582135,-0.5978125303184986,0.20431,-0.18041921040177344,-0.033179999999999994,0.08623555090308188,-0.8869849999999999,0.8761699160194396,-0.16371999999999998,0.17678671183556316,1.2288349999999997,-1.2285718170297701,-0.41200499999999995,0.4106892306097969,-1.8153549999999998,1.817462984619215,-0.22848999999999997,0.2539962114447355,-0.29326,0.2724907335883379,-0.4880054417002201,-0.778231740720272,-0.09418365949869156,1.1391921787580848,1.7028540550678786
European Commission Approves Abbvie's SKYRIZI For Treatment Of Moderate To Severe Plaque Psoriasis,2019-04-30,ABBV,2019-04-30 11:52:00+00:00,ABBVIE INC,13721.0,00287Y10,-0.01133254822343588,-0.005211973562836647,0.005715595558285713,0.004972746595740318,0.01319513190537691,0.002558153821155429,-0.02018090710043907,0.03006620705127716,-0.007354624569416046,-0.01250282768160105,-0.001406831666827202,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,-0.04,-0.7,0.28,0.01,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,0.35,-0.37,0.08,0.009,2019-05-10,-2.67,-0.73,0.28,0.009,2019-05-13,0.93,0.4,-0.02,0.009,2019-05-14,583780.0,0.8925,-0.3301,-0.1787,-0.0257,0.01436745177656412,-0.731775,0.7265630264371633,-0.1338,0.13951559555828572,1.0175249999999998,-1.0125522534042595,-0.339075,0.3522701319053769,-1.499325,1.5018831538211554,-0.18735,0.16716909289956092,-0.2409,0.27096620705127716,0.32137499999999997,-0.328729624569416,-2.3739749999999997,2.3614721723183987,0.839025,-0.8404318316668272,0.7409304782137274,0.866078621995449,-0.8730366578459737,0.8416010323222729,3.1323291698541493
"AbbVie Highlights Will Present New, Updated Data of Investigational Medicines for Parkinson's Disease and Multiple Sclerosis at 2019 American Academy of Neurology Annual Meeting",2019-04-30,ABBV,2019-04-30 11:26:00+00:00,ABBVIE INC,13721.0,00287Y10,-0.01133254822343588,0.01122196484357119,0.01307034771889448,-0.0004868660471402109,-0.0007307012565433979,-0.002193520776927471,-0.002686780644580722,-0.005878071766346693,-0.005420084111392498,0.004706525709480047,0.00838264636695385,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,-0.04,-0.7,0.28,0.01,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,0.35,-0.37,0.08,0.009,2019-05-10,-2.67,-0.73,0.28,0.009,2019-05-13,0.93,0.4,-0.02,0.009,2019-05-14,583780.0,0.8925,-0.3301,-0.1787,-0.0257,0.01436745177656412,-0.731775,0.7429969648435711,-0.1338,0.14687034771889448,1.0175249999999998,-1.01801186604714,-0.339075,0.3383442987434566,-1.499325,1.4971314792230725,-0.18735,0.18466321935541927,-0.2409,0.2350219282336533,0.32137499999999997,-0.32679508411139246,-2.3739749999999997,2.3786815257094798,0.839025,-0.8306423536330462,0.7573644166201352,0.8898673125624657,-0.8711415183282455,0.8174639119193892,3.1380607147771866
"BMO Capital Upgrades AbbVie Inc. Common Stock to Market Perform, Raises Price Target to $79",2019-04-29,ABBV,2019-04-29 10:19:00+00:00,ABBVIE INC,13721.0,00287Y10,0.007528307847678661,0.01122196484357119,0.01307034771889448,-0.0004868660471402109,-0.0007307012565433979,-0.002193520776927471,-0.002686780644580722,-0.005878071766346693,-0.005420084111392498,0.004706525709480047,0.00838264636695385,2019-04-30,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,0.18,0.08,0.65,0.01,-0.04,-0.7,0.28,0.01,2019-04-30,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,0.35,-0.37,0.08,0.009,2019-05-10,-2.67,-0.73,0.28,0.009,2019-05-13,576560.0,0.894,-0.3457,-0.1767,0.17092000000000002,-0.16339169215232136,-0.025759999999999998,0.03698196484357119,-0.73302,0.7460903477188945,-0.13404,0.13355313395285978,1.0192199999999998,-1.0199507012565432,-0.33966,0.33746647922307255,-1.5018600000000002,1.4991732193554195,-0.18767999999999999,0.1818019282336533,-0.24132000000000003,0.23589991588860754,0.3219,-0.31719347429051997,-2.37798,2.386362646366954,-0.12640972730875016,0.7830723125624657,0.8796434816717542,-0.5489310880806109,4.3235107147771865
Abbvie Says It Is Industry's Responsibility To Cover Some Drug Costs And Share Them With The Government To Make Them Affordable For Patients,2019-04-25,ABBV,2019-04-25 14:01:00+00:00,ABBVIE INC,13721.0,00287Y10,0.008516564965248108,0.01122196484357119,0.01307034771889448,-0.0004868660471402109,-0.0007307012565433979,-0.002193520776927471,-0.002686780644580722,-0.005878071766346693,-0.005420084111392498,0.004706525709480047,0.00838264636695385,2019-04-26,2019-04-29,2019-04-30,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,-0.14,-0.75,-0.19,0.01,0.53,0.43,0.07,0.01,2019-04-26,0.18,0.08,0.65,0.01,2019-04-29,-0.04,-0.7,0.28,0.01,2019-04-30,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,562126.0,0.903,-0.3991,-0.2309,-0.11642000000000001,0.12493656496524812,0.48859,-0.47736803515642884,0.17254,-0.15946965228110552,-0.026119999999999997,0.025633133952859787,-0.74049,0.7397592987434566,-0.13548,0.13328647922307252,1.0293899999999998,-1.0320767806445805,-0.34317000000000003,0.33729192823365334,-1.5170700000000001,1.5116499158886076,-0.18966,0.19436652570948004,-0.24384,0.25222264636695385,-0.3524314701911807,-0.6368376874375343,-0.13383651832824572,0.898678911919389,1.3967407147771869
AbbVie  Raises FY19 Adj. EPS Guidance From $8.65-$8.75 To $8.73-$8.83 vs $8.69 Est.,2019-04-25,ABBV,2019-04-25 11:43:00+00:00,ABBVIE INC,13721.0,00287Y10,0.008516564965248108,0.01518983487039804,0.01122196484357119,0.01307034771889448,-0.0004868660471402109,-0.0007307012565433979,-0.002193520776927471,-0.002686780644580722,-0.005878071766346693,-0.005420084111392498,0.004706525709480047,2019-04-26,2019-04-29,2019-04-30,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,-0.14,-0.75,-0.19,0.01,0.53,0.43,0.07,0.01,2019-04-26,0.18,0.08,0.65,0.01,2019-04-29,-0.04,-0.7,0.28,0.01,2019-04-30,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,562126.0,0.903,-0.3991,-0.2309,-0.11642000000000001,0.12493656496524812,0.48859,-0.473400165129602,0.17254,-0.1613180351564288,-0.026119999999999997,0.03919034771889448,-0.74049,0.7400031339528598,-0.13548,0.1347492987434566,1.0293899999999998,-1.0315835207769273,-0.34317000000000003,0.3404832193554193,-1.5170700000000001,1.5111919282336534,-0.18966,0.1842399158886075,-0.24384,0.24854652570948005,-0.34846360016435385,-0.6347182002860308,-0.12212768743753433,0.9139427804152109,1.3876273671536896
"AbbVie Q1 Adj. EPS $2.14 Beats $2.05 Estimate, Sales $7.83B Beat $7.76B Estimate",2019-04-25,ABBV,2019-04-25 11:42:00+00:00,ABBVIE INC,13721.0,00287Y10,0.008516564965248108,0.01518983487039804,0.01122196484357119,0.01307034771889448,-0.0004868660471402109,-0.0007307012565433979,-0.002193520776927471,-0.002686780644580722,-0.005878071766346693,-0.005420084111392498,0.004706525709480047,2019-04-26,2019-04-29,2019-04-30,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,-0.14,-0.75,-0.19,0.01,0.53,0.43,0.07,0.01,2019-04-26,0.18,0.08,0.65,0.01,2019-04-29,-0.04,-0.7,0.28,0.01,2019-04-30,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,562126.0,0.903,-0.3991,-0.2309,-0.11642000000000001,0.12493656496524812,0.48859,-0.473400165129602,0.17254,-0.1613180351564288,-0.026119999999999997,0.03919034771889448,-0.74049,0.7400031339528598,-0.13548,0.1347492987434566,1.0293899999999998,-1.0315835207769273,-0.34317000000000003,0.3404832193554193,-1.5170700000000001,1.5111919282336534,-0.18966,0.1842399158886075,-0.24384,0.24854652570948005,-0.34846360016435385,-0.6347182002860308,-0.12212768743753433,0.9139427804152109,1.3876273671536896
Watching AbbVie Shares As Health Canada Approved Skyrizi For Treatment Of Moderate to Severe Plaque Psoriasis,2019-04-18,ABBV,2019-04-18 14:06:00+00:00,ABBVIE INC,13721.0,00287Y10,-0.005257805343717337,0.01518983487039804,0.01122196484357119,0.01307034771889448,-0.0004868660471402109,-0.0007307012565433979,-0.002193520776927471,-0.002686780644580722,-0.005878071766346693,-0.005420084111392498,0.004706525709480047,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,2019-04-29,2019-04-30,2019-05-01,2019-05-02,2019-05-03,0.11,-0.25,-0.51,0.01,0.11,-0.46,-0.56,0.01,2019-04-22,0.97,0.72,-0.48,0.01,2019-04-23,-0.23,0.27,-0.07,0.01,2019-04-24,-0.14,-0.75,-0.19,0.01,2019-04-25,0.53,0.43,0.07,0.01,2019-04-26,0.18,0.08,0.65,0.01,2019-04-29,-0.04,-0.7,0.28,0.01,2019-04-30,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,533271.0,0.9037,-0.3877,-0.2303,0.10940699999999999,-0.11466480534371733,0.10940699999999999,-0.09421716512960195,0.886589,-0.8753670351564288,-0.197851,0.21092134771889448,-0.116518,0.11603113395285979,0.488961,-0.4896917012565434,0.172666,-0.17485952077692746,-0.026147999999999998,0.023461219355419276,-0.7410709999999999,0.7351929282336532,-0.135592,0.1301719158886075,1.0301809999999998,-1.0254744742905197,-0.20888197047331927,-0.9695842002860308,-0.6644456874375343,-0.1627392195847891,-0.8011996328463107
AbbVie's MAVIRET Now reimbursed In Quebec,2019-04-11,ABBV,2019-04-11 13:02:00+00:00,ABBVIE INC,13721.0,00287Y10,-0.01422544103115797,-0.005598074290901423,0.00207406491972506,-0.00650506280362606,-0.005952290259301662,0.00898201297968626,-0.01543028000742197,0.01386374607682228,0.04577886313199997,0.008527550846338272,-0.01578357815742493,2019-04-12,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-22,2019-04-23,2019-04-24,2019-04-25,2019-04-26,0.0,-0.31,0.41,0.01,0.65,-0.5,0.65,0.01,2019-04-12,-0.09,-0.22,-0.53,0.01,2019-04-15,0.13,0.12,0.7,0.01,2019-04-16,-0.32,-0.7,0.83,0.01,2019-04-17,0.11,-0.25,-0.51,0.01,2019-04-18,0.11,-0.46,-0.56,0.01,2019-04-22,0.97,0.72,-0.48,0.01,2019-04-23,-0.23,0.27,-0.07,0.01,2019-04-24,-0.14,-0.75,-0.19,0.01,2019-04-25,0.53,0.43,0.07,0.01,2019-04-26,497209.0,0.9065,-0.3996,-0.2042,0.01,-0.024225441031157972,0.599225,-0.6048230742909014,-0.071585,0.07365906491972506,0.12784500000000001,-0.13435006280362607,-0.28008,0.27412770974069833,0.109715,-0.10073298702031373,0.109715,-0.12514528000742198,0.889305,-0.8754412539231777,-0.198495,0.24427386313199997,-0.11691,0.12543755084633829,0.490445,-0.506228578157425,-0.6290485153220594,-0.5311640093711764,-0.06069099788390102,0.039044659916758526,-1.2378366851300002
AbbVie Reports New Formulary Listings For Hep C Treatment MAVIRET,2019-04-04,ABBV,2019-04-04 14:01:00+00:00,ABBVIE INC,13721.0,00287Y10,-0.00324993091635406,-0.005598074290901423,0.00207406491972506,-0.00650506280362606,-0.005952290259301662,0.00898201297968626,-0.01543028000742197,0.01386374607682228,0.04577886313199997,0.008527550846338272,-0.01578357815742493,2019-04-05,2019-04-08,2019-04-09,2019-04-10,2019-04-11,2019-04-12,2019-04-15,2019-04-16,2019-04-17,2019-04-18,0.19,0.21,0.93,0.01,0.52,0.53,-0.08,0.01,2019-04-05,0.08,-0.29,0.1,0.01,2019-04-08,-0.65,-0.56,-0.14,0.01,2019-04-09,0.48,0.97,-0.1,0.01,2019-04-10,0.0,-0.31,0.41,0.01,2019-04-11,0.65,-0.5,0.65,0.01,2019-04-12,-0.09,-0.22,-0.53,0.01,2019-04-15,0.13,0.12,0.7,0.01,2019-04-16,-0.32,-0.7,0.83,0.01,2019-04-17,0.11,-0.25,-0.51,0.01,2019-04-18,461169.0,0.9143,-0.4051,-0.2073,0.18371700000000002,-0.18696693091635408,0.48543600000000003,-0.49103407429090146,0.083144,-0.08106993508027494,-0.584295,0.577789937196374,0.448864,-0.45481629025930165,0.01,-0.00101798702031374,0.604295,-0.619725280007422,-0.072287,0.08615074607682228,0.128859,-0.08308013686800003,-0.282576,0.29110355084633827,0.11057299999999999,-0.12635657815742493,-0.6780010052072556,-0.5721040093711764,0.496720002116099,0.12195565991675857,-0.4529256851300002
AbbVie shares are trading higher after development partner Alector announced it is initiating a phase 1 trial to treat Alzheimer's Disease.,2019-04-02,ABBV,2019-04-02 15:50:00+00:00,ABBVIE INC,13721.0,00287Y10,0.02834861353039742,-0.005598074290901423,0.00207406491972506,-0.00650506280362606,-0.005952290259301662,0.00898201297968626,-0.01543028000742197,0.01386374607682228,0.04577886313199997,0.008527550846338272,-0.01578357815742493,2019-04-03,2019-04-04,2019-04-05,2019-04-08,2019-04-09,2019-04-10,2019-04-11,2019-04-12,2019-04-15,2019-04-16,-0.05,-0.13,-0.44,0.01,0.27,0.22,-0.4,0.01,2019-04-03,0.19,0.21,0.93,0.01,2019-04-04,0.52,0.53,-0.08,0.01,2019-04-05,0.08,-0.29,0.1,0.01,2019-04-08,-0.65,-0.56,-0.14,0.01,2019-04-09,0.48,0.97,-0.1,0.01,2019-04-10,0.0,-0.31,0.41,0.01,2019-04-11,0.65,-0.5,0.65,0.01,2019-04-12,-0.09,-0.22,-0.53,0.01,2019-04-15,0.13,0.12,0.7,0.01,2019-04-16,446767.0,0.9093,-0.3972,-0.217,-0.035465,0.06381361353039743,0.255511,-0.2611090742909014,0.182767,-0.18069293508027495,0.48283600000000004,-0.4893410628036261,0.082744,-0.08869629025930166,-0.581045,0.5900270129796863,0.44646399999999997,-0.46189428000742194,0.01,0.003863746076822279,0.601045,-0.5552661368680001,-0.071837,0.08036455084633827,0.12820900000000002,-0.14399257815742494,-0.19729546076050397,-0.44180200937117636,-0.6700339978839011,0.011989659916758488,-0.48689768513000015
Alector Initiates Phase 1 Trial Of AL003 For Treatment Of Patients With Alzheimer's Disease,2019-04-01,ABBV,2019-04-01 20:42:00+00:00,ABBVIE INC,13721.0,00287Y10,0.002357643097639084,0.002095799194648862,0.02898109890520573,-0.01538904756307602,-0.02034793980419636,0.01083686295896769,-0.03275765851140022,-0.001231555244885385,0.01541307102888823,0.03035822883248329,-0.005598074290901423,2019-04-02,2019-04-03,2019-04-04,2019-04-05,2019-04-08,2019-04-09,2019-04-10,2019-04-11,2019-04-12,2019-04-15,1.19,-0.3,0.99,0.01,-0.05,-0.13,-0.44,0.01,2019-04-02,0.27,0.22,-0.4,0.01,2019-04-03,0.19,0.21,0.93,0.01,2019-04-04,0.52,0.53,-0.08,0.01,2019-04-05,0.08,-0.29,0.1,0.01,2019-04-08,-0.65,-0.56,-0.14,0.01,2019-04-09,0.48,0.97,-0.1,0.01,2019-04-10,0.0,-0.31,0.41,0.01,2019-04-11,0.65,-0.5,0.65,0.01,2019-04-12,-0.09,-0.22,-0.53,0.01,2019-04-15,439571.0,0.9255,-0.3873,-0.1977,1.111345,-1.108987356902361,-0.036275,0.038370799194648864,0.25988500000000003,-0.2309039010947943,0.185845,-0.20123404756307603,0.49126000000000003,-0.5116079398041964,0.08403999999999999,-0.0732031370410323,-0.591575,0.5588173414885997,0.45424,-0.45547155524488536,0.01,0.0054130710288882306,0.611575,-0.5812167711675167,-0.073295,0.06769692570909858,-1.070616557707712,-0.19253310190014544,-0.43213794865787036,-0.7860451244083048,-0.47796412522684784
UPDATE: Bank Of America Downgrades AmerisourceBergen To Underperform As Firm Notes 'recent challenges seen across the broader pharma supply chain companies have created ongoing questions about the future profit growth for the sector',2019-04-10,ABC,2019-04-10 15:53:00+00:00,AMERISOURCEBERGEN CORP,81540.0,03073E10,-0.04429807886481285,0.0001678069966146722,0.001090306555852294,-0.005613255314528942,0.002443347359076142,0.01269116252660751,0.006722592748701572,-0.0004122263053432107,-0.004701028577983379,-0.003148800460621715,0.00432249903678894,2019-04-11,2019-04-12,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-22,2019-04-23,2019-04-24,2019-04-25,0.48,0.97,-0.1,0.01,0.0,-0.31,0.41,0.01,2019-04-11,0.65,-0.5,0.65,0.01,2019-04-12,-0.09,-0.22,-0.53,0.01,2019-04-15,0.13,0.12,0.7,0.01,2019-04-16,-0.32,-0.7,0.83,0.01,2019-04-17,0.11,-0.25,-0.51,0.01,2019-04-18,0.11,-0.46,-0.56,0.01,2019-04-22,0.97,0.72,-0.48,0.01,2019-04-23,-0.23,0.27,-0.07,0.01,2019-04-24,-0.14,-0.75,-0.19,0.01,2019-04-25,493992.0,0.8835,0.1122,0.3451,0.43407999999999997,-0.4783780788648128,0.01,-0.009832193003385328,0.584275,-0.5831846934441477,-0.069515,0.06390174468547105,0.124855,-0.12241165264092385,-0.27271999999999996,0.2854111625266075,0.10718499999999999,-0.10046240725129842,0.10718499999999999,-0.1075972263053432,0.866995,-0.8716960285779833,-0.193205,0.19005619953937827,-0.11369000000000001,0.11801249903678895,-0.48821027186819815,-0.593016886447533,-0.5192829487586766,0.22690125457115468,-0.48627580103185025
Amerisource Bergen shares are trading lower after Evercore ISI Group and Bank of America downgraded the company's stock; Bank of America also lowered its price target from $95 to $76.,2019-04-10,ABC,2019-04-10 13:42:00+00:00,AMERISOURCEBERGEN CORP,81540.0,03073E10,-0.04429807886481285,-0.00622946210205555,0.007487381342798471,0.004493576008826494,0.006108044646680355,0.01932451687753201,0.0001678069966146722,0.001090306555852294,-0.005613255314528942,0.002443347359076142,0.01269116252660751,2019-04-11,2019-04-12,2019-04-15,2019-04-16,2019-04-17,2019-04-18,2019-04-22,2019-04-23,2019-04-24,2019-04-25,0.48,0.97,-0.1,0.01,0.0,-0.31,0.41,0.01,2019-04-11,0.65,-0.5,0.65,0.01,2019-04-12,-0.09,-0.22,-0.53,0.01,2019-04-15,0.13,0.12,0.7,0.01,2019-04-16,-0.32,-0.7,0.83,0.01,2019-04-17,0.11,-0.25,-0.51,0.01,2019-04-18,0.11,-0.46,-0.56,0.01,2019-04-22,0.97,0.72,-0.48,0.01,2019-04-23,-0.23,0.27,-0.07,0.01,2019-04-24,-0.14,-0.75,-0.19,0.01,2019-04-25,493992.0,0.8835,0.1122,0.3451,0.43407999999999997,-0.4783780788648128,0.01,-0.01622946210205555,0.584275,-0.5767876186572015,-0.069515,0.07400857600882649,0.124855,-0.11874695535331964,-0.27271999999999996,0.29204451687753197,0.10718499999999999,-0.10701719300338532,0.10718499999999999,-0.1060946934441477,0.866995,-0.8726082553145289,-0.193205,0.19564834735907613,-0.11369000000000001,0.12638116252660753,-0.4946075409668684,-0.5930170807592571,-0.502779042648375,0.24730613753303882,-0.4716461149988463
